item_id,source_type,source_name,url,screenshot_path,title,product_or_topic,evidence_text,raw_user_quote,user_problem,problem_dimension,polarity,captured_date
IM001,ecommerce_review,Amazon,https://example.com/amazon/ge-profile-opal/reviews/rv-cleaning-001,,GE Profile Opal customer reviews,GE Profile Opal countertop ice maker,"Review text: It gets slimy unless I clean it constantly. The reviewer says hard water creates residue quickly.","It gets slimy unless I clean it constantly.","User complains hard water creates slime or residue and makes cleaning too frequent.",cleaning,negative,2026-06-23
IM002,ecommerce_review,Walmart,https://example.com/walmart/frigidaire-efic/reviews/rv-cleaning-002,,Frigidaire EFIC customer reviews,Frigidaire countertop ice maker,"Review text: The ice started tasting weird after a few days. The buyer links the taste to water left in the reservoir.","The ice started tasting weird after a few days.","User reports odor or off-taste when standing water remains after regular use.",cleaning,negative,2026-06-23
IM003,tiktok_comment,TikTok,https://www.tiktok.com/@example/video/7340000000000000001,screenshots/IM003.png,TikTok cleaning comments,Countertop ice maker cleaning,"Comment screenshot text: Self-clean still leaves residue. Other comments ask how to clean the hidden water path.","Self-clean still leaves residue.","User says self-clean alone does not remove visible residue, so manual access still matters.",cleaning,negative,2026-06-23
IM004,ecommerce_review,Home Depot,https://example.com/homedepot/newair-countertop/reviews/rv-drain-004,,Newair customer reviews,Newair countertop ice maker,"Review text: I have to lift the whole thing to drain it. The buyer says bottom drainage makes a mess on the counter.","I have to lift the whole thing to drain it.","User dislikes bottom-only drain designs because draining requires moving or lifting the machine.",drainage,negative,2026-06-23
IM005,ecommerce_qa,Home Depot,https://example.com/homedepot/frigidaire-countertop/questions/q-drain-005,,Product Q&A for countertop ice maker,Frigidaire countertop ice maker,"Question text: Can I drain this without picking it up? The buyer asks because the unit will sit under a cabinet.","Can I drain this without picking it up?","User asks whether drainage can be done without lifting the machine from the counter.",drainage,question,2026-06-23
IM006,ecommerce_review,Best Buy,https://example.com/bestbuy/insignia-ice-maker/reviews/rv-noise-006,,Insignia customer reviews,Insignia portable ice maker,"Review text: The ice dropping is louder than I expected. The buyer separates normal fan noise from the drop sound.","The ice dropping is louder than I expected.","User complains ice-drop clatter is noticeable in a shared kitchen or living area.",noise,negative,2026-06-23
IM007,ecommerce_review,Amazon,https://example.com/amazon/euhomy-countertop/reviews/rv-noise-007,,Euhomy customer reviews,Euhomy countertop ice maker,"Review text: It rattles on the counter at night. The buyer says the operating sound is not bedroom or office friendly.","It rattles on the counter at night.","User complains operating noise or rattling is too noticeable for quiet spaces.",noise,negative,2026-06-23
IM008,ecommerce_review,Amazon,https://example.com/amazon/ge-profile-opal/reviews/rv-melt-008,,GE Profile Opal customer reviews,GE Profile Opal nugget ice maker,"Review text: The basket does not keep the ice frozen. The buyer expected the finished ice to stay solid longer.","The basket does not keep the ice frozen.","User misunderstands the basket as storage and complains finished ice melts if not moved to a freezer.",melting,question,2026-06-23
IM009,ecommerce_review,Walmart,https://example.com/walmart/costway-ice-maker/reviews/rv-reliability-009,,Costway customer reviews,Costway countertop ice maker,"Review text: It stopped making ice after two months. The buyer says the machine powers on but does not produce ice.","It stopped making ice after two months.","User complains about early failure or a machine that stops producing ice after short ownership.",reliability,negative,2026-06-23
IM010,support_forum,Appliance support forum,https://example.com/forum/countertop-ice-maker-add-water-error,,Ice maker troubleshooting thread,Countertop ice maker,"Forum post text: The add-water light stays on. The user says the reservoir is full but production will not restart.","The add-water light stays on.","User struggles with false add-water or sensor states that stop ice production.",reliability,negative,2026-06-23
IM011,ecommerce_qa,Best Buy,https://example.com/bestbuy/insignia-ice-maker/questions/q-size-011,,Product Q&A for portable ice maker,Insignia portable ice maker,"Question text: Will this fit under my cabinets? The buyer asks for clearance and full-water moving weight.","Will this fit under my cabinets?","User worries compact claims do not show real footprint, clearance, or full-water moving weight.",size,question,2026-06-23
IM012,youtube_comment,YouTube,https://www.youtube.com/watch?v=exampleIceMakerSetup,screenshots/IM012.png,YouTube setup video comments,Portable ice maker,"Comment screenshot text: Mine leaked from the drain plug. Another commenter asks whether moving it full causes leaks.","Mine leaked from the drain plug.","User reports or asks about leaks around the drain plug and water movement during carrying.",safety,risk,2026-06-23
IM013,expert_review,Serious Eats,https://www.seriouseats.com/best-ice-makers-6833617,,We Tested 16 Countertop Ice Makers,Countertop ice maker,"Media test notes that some bottom-drain models can be hard to empty and many machines require hand cleaning.",,,cleaning,negative,2026-06-23
IM014,shopping_article,Popular Mechanics,https://www.popularmechanics.com/home/food-drink/a69632087/how-to-descale-ice-machine/,,How to descale a nugget ice maker,Nugget ice maker,"Media maintenance article explains that hard water and mineral buildup can reduce ice quality and slow production.",,,cleaning,negative,2026-06-23
